identifier,type,size,beds,baths,price,location
1124,Apartment,1366,2,3,1700000.0,marina quays
1125,Apartment,768,1,1,950000.0,al sahab
1126,Apartment,2204,3,4,2500000.0,al sahab
1127,Apartment,2204,3,4,2500000.0,al sahab
1128,Apartment,909,1,2,1299999.0,park island
1129,Apartment,1302,2,3,1950000.0,park island
1130,Apartment,1480,2,3,2050000.0,park island
1131,Apartment,1302,2,2,1400000.0,park island
1132,Apartment,2859,3,4,1999999.0,ary marina view tower
1133,Apartment,917,1,1,595000.0,sulafa tower
1134,Apartment,2409,4,4,1600000.0,horizon tower
1135,Apartment,1502,3,3,1150000.0,sulafa tower
1136,Apartment,865,0,1,524999.0,dec towers
1137,Apartment,1858,3,4,3199999.0,marina gate
1138,Apartment,3682,3,4,6100000.0,la residencia del mar
1139,Apartment,844,1,2,630000.0,mag 218
1140,Penthouse,6732,5,6,6450000.0,la riviera
1141,Apartment,2112,1,2,1100000.0,studio one
1142,Apartment,1739,2,3,850000.0,dec towers
1143,Apartment,1184,2,3,799950.0,yacht bay
1144,Apartment,592,1,1,795000.0,studio one
1145,Apartment,1139,2,3,2205888.0,5242
1146,Apartment,768,1,1,800000.0,al sahab
1147,Apartment,1544,2,4,1500000.0,trident marinascape
1148,Apartment,1376,2,3,1675000.0,cayan tower
1149,Apartment,762,1,2,960000.0,marina tower
1150,Apartment,1664,2,2,2400000.0,marina promenade
1151,Apartment,3562,3,5,3500000.0,the atlantic
1152,Apartment,4585,4,5,5900000.0,bay central
1153,Apartment,4585,4,5,6950000.0,bay central
1154,Apartment,1739,2,2,820000.0,dec towers
1155,Apartment,592,1,1,800000.0,studio one
1156,Apartment,823,1,2,550000.0,dec towers
1157,Apartment,2611,2,3,2050000.0,emirates crown
1158,Apartment,1198,2,2,950000.0,the torch
1159,Apartment,736,1,1,550000.0,marina diamond 3
1160,Apartment,1586,3,3,2100000.0,marina tower
1161,Apartment,1900,3,4,3188888.0,marina tower
1163,Apartment,1709,2,3,1200000.0,trident waterfront
1165,Apartment,2314,3,4,2200000.0,trident bayside
1166,Apartment,1347,2,3,2000000.0,park island
1167,Apartment,360,0,1,575000.0,studio one
1168,Apartment,725,1,2,1000000.0,studio one
1169,Apartment,813,1,2,1300000.0,liv residence
1170,Apartment,736,1,2,1299999.0,iris blue
1171,Apartment,1325,2,3,1650000.0,iris blue
1172,Apartment,1443,2,4,2130000.0,liv residence
1173,Apartment,1798,2,3,1100000.0,mag 218
1174,Apartment,690,1,2,775000.0,dream towers
1175,Apartment,837,1,2,1400000.0,marina gate
1176,Apartment,2279,3,3,3928250.0,marina gate
1177,Apartment,2200,4,4,12216050.0,marina gate
1179,Apartment,830,1,2,1500000.0,marina gate
1180,Apartment,545,0,1,999999.0,marina gate
1181,Apartment,1663,2,3,2100000.0,marina arcade tower
1182,Apartment,722,1,2,1100000.0,west avenue tower
1183,Apartment,1258,2,3,970000.0,the torch
1184,Penthouse,6408,4,6,15700000.0,marina gate
1185,Townhouse,2428,2,3,5700000.0,marina gate
1186,Townhouse,4618,4,6,10650000.0,marina gate
1187,Townhouse,3577,3,5,8573000.0,marina gate
1188,Apartment,820,2,2,1475000.0,studio one
1189,Apartment,502,0,1,600000.0,studio one
1190,Apartment,833,2,2,1090000.0,studio one
1191,Apartment,834,2,2,1250000.0,studio one
1192,Apartment,1226,2,2,1180000.0,bay central
1193,Apartment,692,1,2,650000.0,bay central
1194,Apartment,1787,3,4,2700000.0,silverene
1195,Apartment,1067,2,2,1900000.0,silverene
1196,Apartment,1556,2,3,2200000.0,silverene
1197,Apartment,832,1,2,1200000.0,silverene
1198,Duplex,2649,3,4,6200000.0,marina quays
1199,Apartment,2488,3,3,1745000.0,marina view
1200,Apartment,1302,2,3,1900000.0,park island
1201,Apartment,787,1,2,900000.0,the royal oceanic
1202,Apartment,2327,3,5,1900000.0,trident waterfront
1203,Apartment,1329,2,2,1800000.0,elite residence
1204,Apartment,1775,3,3,1450000.0,trident grand residence
1205,Apartment,736,1,2,800000.0,elite residence
1206,Apartment,759,2,2,845000.0,marina wharf
1207,Apartment,1287,3,3,1180000.0,marina wharf
1208,Apartment,1006,2,2,2100000.0,no.9
1209,Apartment,720,1,2,799000.0,botanica tower
1210,Apartment,1330,2,3,975000.0,elite residence
1211,Apartment,1314,2,3,1900000.0,damac heights
1212,Apartment,950,1,2,1300000.0,damac heights
1213,Townhouse,4537,3,5,2500000.0,trident waterfront
1214,Apartment,968,1,2,1500000.0,damac heights
1215,Apartment,705,1,2,790000.0,bay central
1217,Apartment,443,0,1,500000.0,marina diamond 3
1218,Apartment,750,1,1,875000.0,west avenue tower
1219,Apartment,1400,2,3,1899999.0,cayan tower
1220,Apartment,5839,4,3,7000000.0,23 marina
1221,Apartment,768,1,1,800000.0,al sahab
1222,Apartment,2982,3,4,2100000.0,23 marina
1223,Apartment,2326,3,4,1730000.0,trident waterfront
1224,Apartment,830,1,2,1250000.0,silverene
1225,Penthouse,5743,4,5,13500000.0,trident grand residence
1226,Apartment,957,1,2,815000.0,ocean heights
1227,Apartment,1440,2,3,1300000.0,ocean heights
1228,Apartment,1187,1,2,1050000.0,ocean heights
1229,Apartment,2018,3,4,1599950.0,dorra bay
1230,Apartment,4274,3,3,3900000.0,emaar 6 towers
1231,Apartment,1347,2,3,1600000.0,park island
1232,Apartment,2497,3,4,2875000.0,emaar 6 towers
1233,Apartment,1198,2,2,950000.0,the torch
1234,Apartment,1200,2,2,988888.0,the torch
1235,Apartment,982,2,2,895000.0,la riviera
1236,Apartment,1372,2,3,1830000.0,cayan tower
1237,Apartment,592,1,1,850000.0,studio one
1238,Apartment,1599,2,2,2289616.0,marina arcade tower
1239,Penthouse,5056,4,5,9100656.0,marina arcade tower
